Policy_SK,Policy_Type_Id,Policy_Type,Policy_Type_Desc,Policy_Id,Policy_Name,Customer_ID,Premium_Amt,Policy_Term,Policy_Start_Dt,Policy_End_Dt,Next_Premium_Dt,Actual_Premium_Paid_Dt,Total_Policy_Amt,Premium_Amt_Paid_TillDate,Region,Num_Installments
132,PT004,Health,Health insurance policy,10932,Home Policy 10932,462,25000,Annual,2018-09-07,2023-09-06,2019-12-24,2019-11-24,1000000,5618.84,EAST,1
133,PT004,Health,Health insurance policy,10933,Auto Policy 10933,462,20000,Annual,2014-05-03,2019-05-02,2014-08-12,2014-07-13,600000,16425.26,EAST,1
134,PT003,Term,Term life insurance policy,10934,WholeLife Policy 10934,463,5000,Annual,2011-01-26,2016-01-25,2011-04-14,2011-03-15,200000,2738.09,EAST,1
135,PT003,Term,Term life insurance policy,10935,WholeLife Policy 10935,463,12500,Quarterly,2019-08-03,2021-08-02,2020-03-05,2020-02-04,500000,9338.49,EAST,4
136,PT003,Term,Term life insurance policy,10936,Auto Policy 10936,464,25000,Monthly,2006-03-30,2007-03-30,2007-07-18,2007-06-18,1000000,8433.05,EAST,12
137,PT002,WholeLife,Whole life insurance policy,10937,Health Policy 10937,465,20000,Annual,2020-04-18,2025-04-17,2021-03-26,2021-02-24,200000,10750.43,EAST,1
138,PT001,Auto,Auto insurance policy,10938,Health Policy 10938,465,7500,Annual,2013-06-18,2018-06-17,2014-08-11,2014-07-12,500000,3740.88,EAST,1
139,PT001,Auto,Auto insurance policy,10939,WholeLife Policy 10939,465,5000,Quarterly,2007-08-05,2009-08-04,2009-01-08,2008-12-09,600000,2286.98,EAST,4
140,PT002,WholeLife,Whole life insurance policy,10940,Term Policy 10940,466,7500,Monthly,2014-10-17,2015-10-17,2015-02-01,2015-01-02,300000,4590.24,SOUTH,12
141,PT003,Term,Term life insurance policy,10941,Health Policy 10941,467,5000,Annual,2017-01-10,2022-01-09,2017-03-18,2017-02-16,1000000,4056.4,SOUTH,1
142,PT005,Home,Home insurance policy,10942,Auto Policy 10942,468,7500,Monthly,2006-09-20,2007-09-20,2007-02-19,2007-01-20,500000,2983.63,EAST,12
143,PT001,Auto,Auto insurance policy,10943,Term Policy 10943,469,7500,Annual,2018-07-06,2023-07-05,2018-11-09,2018-10-10,400000,4682.15,WEST,1
144,PT002,WholeLife,Whole life insurance policy,10944,Health Policy 10944,469,20000,Monthly,2019-10-01,2020-09-30,2020-01-08,2019-12-09,200000,7502.78,WEST,12
145,PT003,Term,Term life insurance policy,10945,WholeLife Policy 10945,470,20000,Annual,2016-02-07,2021-02-05,2016-10-06,2016-09-06,1000000,16566.96,EAST,1
146,PT001,Auto,Auto insurance policy,10946,WholeLife Policy 10946,470,10000,Annual,2014-12-13,2019-12-12,2016-03-16,2016-02-15,400000,5859.84,EAST,1
147,PT001,Auto,Auto insurance policy,10947,WholeLife Policy 10947,470,10000,Quarterly,2016-10-25,2018-10-25,2017-09-27,2017-08-28,800000,5524.12,EAST,4
148,PT004,Health,Health insurance policy,10948,Term Policy 10948,471,15000,Annual,2014-03-20,2019-03-19,2014-10-09,2014-09-09,500000,3823.68,EAST,1
149,PT004,Health,Health insurance policy,10949,Home Policy 10949,472,20000,Quarterly,2010-03-04,2012-03-03,2010-08-18,2010-07-19,600000,5718.47,SOUTH,4
150,PT005,Home,Home insurance policy,10950,WholeLife Policy 10950,473,20000,Monthly,2005-10-21,2006-10-21,2006-11-17,2006-10-18,500000,14698.69,EAST,12
151,PT005,Home,Home insurance policy,10951,Auto Policy 10951,473,25000,Quarterly,2005-06-24,2007-06-24,2006-01-08,2005-12-09,200000,9864.43,EAST,4
152,PT003,Term,Term life insurance policy,10952,Health Policy 10952,473,5000,Monthly,2011-09-27,2012-09-26,2013-02-05,2013-01-06,400000,3134.12,EAST,12
153,PT003,Term,Term life insurance policy,10953,Auto Policy 10953,474,12500,Quarterly,2013-08-01,2015-08-01,2014-01-22,2013-12-23,200000,4300.14,NORTH,4
154,PT004,Health,Health insurance policy,10954,WholeLife Policy 10954,474,15000,Quarterly,2019-10-21,2021-10-20,2020-11-22,2020-10-23,200000,6204.05,NORTH,4
155,PT004,Health,Health insurance policy,10955,Term Policy 10955,475,25000,Annual,2005-08-01,2010-07-31,2006-11-28,2006-10-29,400000,20880.37,SOUTH,1
156,PT002,WholeLife,Whole life insurance policy,10956,Home Policy 10956,475,10000,Monthly,2009-11-09,2010-11-09,2011-03-08,2011-02-06,800000,6350.71,SOUTH,12
157,PT002,WholeLife,Whole life insurance policy,10957,Health Policy 10957,475,15000,Monthly,2006-04-13,2007-04-13,2007-06-16,2007-05-17,500000,12790.96,SOUTH,12
158,PT004,Health,Health insurance policy,10958,Home Policy 10958,476,15000,Quarterly,2015-05-26,2017-05-25,2016-05-10,2016-04-10,800000,11074.63,SOUTH,4
159,PT001,Auto,Auto insurance policy,10959,Term Policy 10959,476,12500,Quarterly,2008-08-24,2010-08-24,2009-02-21,2009-01-22,800000,3653.89,SOUTH,4
160,PT001,Auto,Auto insurance policy,10960,Term Policy 10960,477,5000,Quarterly,2020-04-23,2022-04-23,2021-07-21,2021-06-21,300000,2899.82,EAST,4
161,PT002,WholeLife,Whole life insurance policy,10961,Home Policy 10961,478,15000,Monthly,2013-11-07,2014-11-07,2014-07-10,2014-06-10,400000,5821.85,NORTH,12
162,PT001,Auto,Auto insurance policy,10962,Term Policy 10962,478,5000,Annual,2019-08-25,2024-08-23,2020-03-29,2020-02-28,200000,2989.54,NORTH,1
163,PT004,Health,Health insurance policy,10963,Term Policy 10963,479,12500,Quarterly,2009-01-04,2011-01-04,2009-10-16,2009-09-16,200000,2577.62,SOUTH,4
164,PT004,Health,Health insurance policy,10964,Auto Policy 10964,479,20000,Quarterly,2013-01-17,2015-01-17,2013-12-27,2013-11-27,1000000,7049.79,SOUTH,4
165,PT002,WholeLife,Whole life insurance policy,10965,Home Policy 10965,480,15000,Quarterly,2006-10-14,2008-10-13,2007-05-22,2007-04-22,600000,13009.58,NORTH,4
166,PT005,Home,Home insurance policy,10966,WholeLife Policy 10966,481,10000,Quarterly,2010-10-15,2012-10-14,2011-08-24,2011-07-25,1000000,2890.56,EAST,4
167,PT001,Auto,Auto insurance policy,10967,WholeLife Policy 10967,481,20000,Annual,2008-04-18,2013-04-17,2008-10-14,2008-09-14,200000,5602.25,EAST,1
168,PT004,Health,Health insurance policy,10968,WholeLife Policy 10968,482,25000,Annual,2020-05-08,2025-05-07,2021-04-29,2021-03-30,500000,10553.35,WEST,1
169,PT001,Auto,Auto insurance policy,10969,WholeLife Policy 10969,483,10000,Annual,2006-05-14,2011-05-13,2006-07-21,2006-06-21,400000,6748.71,WEST,1
170,PT005,Home,Home insurance policy,10970,Term Policy 10970,483,5000,Annual,2017-02-14,2022-02-13,2017-08-13,2017-07-14,600000,2224.05,WEST,1
171,PT002,WholeLife,Whole life insurance policy,10971,Auto Policy 10971,483,5000,Quarterly,2016-05-15,2018-05-15,2016-08-22,2016-07-23,600000,1829.43,WEST,4
172,PT003,Term,Term life insurance policy,10972,Home Policy 10972,484,12500,Annual,2013-05-01,2018-04-30,2014-05-24,2014-04-24,200000,6231.66,WEST,1
173,PT002,WholeLife,Whole life insurance policy,10973,Term Policy 10973,484,10000,Monthly,2008-03-18,2009-03-18,2009-06-24,2009-05-25,600000,4522.01,WEST,12
174,PT002,WholeLife,Whole life insurance policy,10974,Term Policy 10974,485,15000,Quarterly,2015-07-23,2017-07-22,2015-12-12,2015-11-12,200000,6867.17,SOUTH,4
175,PT001,Auto,Auto insurance policy,10975,Term Policy 10975,485,5000,Annual,2008-05-14,2013-05-13,2009-05-20,2009-04-20,200000,1740.18,SOUTH,1
176,PT001,Auto,Auto insurance policy,10976,Home Policy 10976,486,20000,Annual,2016-05-26,2021-05-25,2016-11-12,2016-10-13,400000,9303.76,WEST,1
177,PT002,WholeLife,Whole life insurance policy,10977,Home Policy 10977,486,20000,Annual,2005-09-25,2010-09-24,2006-06-07,2006-05-08,300000,14676.57,WEST,1
178,PT003,Term,Term life insurance policy,10978,Auto Policy 10978,487,15000,Monthly,2006-09-26,2007-09-26,2007-09-15,2007-08-16,600000,9618.41,WEST,12
179,PT003,Term,Term life insurance policy,10979,Health Policy 10979,487,5000,Annual,2017-02-02,2022-02-01,2018-06-26,2018-05-27,1000000,2847.15,WEST,1
180,PT002,WholeLife,Whole life insurance policy,10980,Auto Policy 10980,487,20000,Quarterly,2018-08-14,2020-08-13,2019-07-06,2019-06-06,600000,10174.24,WEST,4
181,PT001,Auto,Auto insurance policy,10981,WholeLife Policy 10981,488,7500,Quarterly,2017-11-26,2019-11-26,2018-05-29,2018-04-29,400000,5694.78,NORTH,4
182,PT004,Health,Health insurance policy,10982,Term Policy 10982,488,10000,Quarterly,2010-03-07,2012-03-06,2010-07-04,2010-06-04,800000,6851.51,NORTH,4
183,PT002,WholeLife,Whole life insurance policy,10983,Health Policy 10983,489,10000,Monthly,2013-02-12,2014-02-12,2013-12-27,2013-11-27,600000,2535.11,SOUTH,12
184,PT005,Home,Home insurance policy,10984,Term Policy 10984,489,15000,Quarterly,2019-08-28,2021-08-27,2020-06-12,2020-05-13,300000,11256.19,SOUTH,4
185,PT003,Term,Term life insurance policy,10985,Home Policy 10985,490,7500,Annual,2007-10-24,2012-10-22,2009-04-01,2009-03-02,1000000,3639.99,EAST,1
186,PT003,Term,Term life insurance policy,10986,WholeLife Policy 10986,491,25000,Quarterly,2018-08-01,2020-07-31,2019-03-23,2019-02-21,400000,10492.28,NORTH,4
187,PT002,WholeLife,Whole life insurance policy,10987,Auto Policy 10987,491,15000,Quarterly,2014-03-01,2016-02-29,2015-02-18,2015-01-19,300000,8189.1,NORTH,4
188,PT003,Term,Term life insurance policy,10988,WholeLife Policy 10988,491,5000,Quarterly,2009-01-13,2011-01-13,2009-05-14,2009-04-14,300000,2465.19,NORTH,4
189,PT001,Auto,Auto insurance policy,10989,Health Policy 10989,492,25000,Monthly,2007-04-08,2008-04-07,2008-08-06,2008-07-07,200000,12549.85,SOUTH,12
190,PT005,Home,Home insurance policy,10990,WholeLife Policy 10990,492,15000,Monthly,2006-08-22,2007-08-22,2007-07-19,2007-06-19,1000000,12645.54,SOUTH,12
191,PT005,Home,Home insurance policy,10991,Health Policy 10991,492,12500,Monthly,2012-12-12,2013-12-12,2013-11-22,2013-10-23,800000,4612.56,SOUTH,12
192,PT002,WholeLife,Whole life insurance policy,10992,Auto Policy 10992,493,15000,Quarterly,2012-07-22,2014-07-22,2013-08-01,2013-07-02,600000,4131.6,EAST,4
193,PT003,Term,Term life insurance policy,10993,Auto Policy 10993,493,10000,Annual,2006-08-28,2011-08-27,2008-02-05,2008-01-06,500000,4862.12,EAST,1
194,PT005,Home,Home insurance policy,10994,Health Policy 10994,494,20000,Quarterly,2011-06-28,2013-06-27,2012-09-05,2012-08-06,300000,6568.31,WEST,4
195,PT001,Auto,Auto insurance policy,10995,Home Policy 10995,494,7500,Monthly,2016-06-04,2017-06-04,2017-06-02,2017-05-03,200000,4613.5,WEST,12
196,PT001,Auto,Auto insurance policy,10996,Health Policy 10996,495,12500,Quarterly,2013-07-05,2015-07-05,2014-05-21,2014-04-21,300000,8822.17,SOUTH,4
197,PT002,WholeLife,Whole life insurance policy,10997,Term Policy 10997,495,10000,Monthly,2007-03-05,2008-03-04,2007-10-25,2007-09-25,500000,2338.02,SOUTH,12
198,PT004,Health,Health insurance policy,10998,Home Policy 10998,495,15000,Annual,2016-10-12,2021-10-11,2017-07-17,2017-06-17,1000000,5995.2,SOUTH,1
199,PT001,Auto,Auto insurance policy,10999,Term Policy 10999,496,5000,Monthly,2009-01-01,2010-01-01,2010-03-13,2010-02-11,1000000,4088.34,EAST,12
200,PT003,Term,Term life insurance policy,11000,WholeLife Policy 11000,496,10000,Annual,2014-08-28,2019-08-27,2016-01-20,2015-12-21,600000,6308.34,EAST,1
1,PT003,Term,Term life insurance policy,11001,Term Policy 11001,497,5000,Monthly,2011-05-23,2012-05-22,2011-12-09,2011-11-09,400000,2703.23,NORTH,12
2,PT002,WholeLife,Whole life insurance policy,11002,WholeLife Policy 11002,498,15000,Quarterly,2011-06-22,2013-06-21,2011-10-14,2011-09-14,1000000,12707.42,WEST,4
3,PT003,Term,Term life insurance policy,11003,Term Policy 11003,499,7500,Monthly,2008-03-01,2009-03-01,2009-07-03,2009-06-03,600000,4170.67,WEST,12
4,PT002,WholeLife,Whole life insurance policy,11004,WholeLife Policy 11004,499,5000,Annual,2005-08-13,2010-08-12,2006-07-14,2006-06-14,600000,3796.47,WEST,1
5,PT001,Auto,Auto insurance policy,11005,Auto Policy 11005,499,10000,Monthly,2015-12-15,2016-12-14,2016-07-06,2016-06-06,300000,8592.64,WEST,12
6,PT004,Health,Health insurance policy,11006,Health Policy 11006,500,7500,Annual,2014-12-24,2019-12-23,2015-10-12,2015-09-12,1000000,3048.44,EAST,1
7,PT001,Auto,Auto insurance policy,11007,Auto Policy 11007,500,12500,Monthly,2020-11-04,2021-11-04,2021-09-12,2021-08-13,500000,4801.74,EAST,12
8,PT002,WholeLife,Whole life insurance policy,11008,WholeLife Policy 11008,500,20000,Annual,2011-04-01,2016-03-30,2011-11-28,2011-10-29,200000,15250.98,EAST,1
9,PT002,WholeLife,Whole life insurance policy,11009,WholeLife Policy 11009,501,7500,Quarterly,2006-09-02,2008-09-01,2007-04-21,2007-03-22,600000,2949.57,SOUTH,4
10,PT005,Home,Home insurance policy,11010,Home Policy 11010,501,20000,Monthly,2020-01-28,2021-01-27,2020-09-05,2020-08-06,800000,16491.82,SOUTH,12
11,PT001,Auto,Auto insurance policy,11011,Auto Policy 11011,501,20000,Monthly,2014-09-21,2015-09-21,2015-08-13,2015-07-14,1000000,8445.38,SOUTH,12
12,PT001,Auto,Auto insurance policy,11012,Auto Policy 11012,502,5000,Annual,2019-03-26,2024-03-24,2019-08-03,2019-07-04,300000,3052.2,SOUTH,1
13,PT002,WholeLife,Whole life insurance policy,11013,WholeLife Policy 11013,502,10000,Monthly,2020-02-08,2021-02-07,2020-06-24,2020-05-25,500000,5391.55,SOUTH,12
14,PT002,WholeLife,Whole life insurance policy,11014,WholeLife Policy 11014,502,7500,Quarterly,2016-02-22,2018-02-21,2017-03-13,2017-02-11,300000,6098.29,SOUTH,4
15,PT002,WholeLife,Whole life insurance policy,11015,WholeLife Policy 11015,503,5000,Quarterly,2005-01-27,2007-01-27,2006-01-07,2005-12-08,500000,3139.26,EAST,4
16,PT002,WholeLife,Whole life insurance policy,11016,WholeLife Policy 11016,503,20000,Quarterly,2005-11-14,2007-11-14,2006-11-23,2006-10-24,400000,9324.06,EAST,4
17,PT005,Home,Home insurance policy,11017,Home Policy 11017,503,10000,Annual,2010-04-07,2015-04-06,2011-03-04,2011-02-02,500000,6598.59,EAST,1
18,PT003,Term,Term life insurance policy,11018,Term Policy 11018,504,20000,Quarterly,2010-03-15,2012-03-14,2011-01-19,2010-12-20,500000,15154.45,SOUTH,4
19,PT005,Home,Home insurance policy,11019,Home Policy 11019,505,12500,Annual,2013-01-04,2018-01-03,2013-04-23,2013-03-24,400000,4415.64,EAST,1
20,PT003,Term,Term life insurance policy,11020,Term Policy 11020,505,10000,Quarterly,2014-05-31,2016-05-30,2015-07-04,2015-06-04,300000,4974.06,EAST,4
21,PT004,Health,Health insurance policy,11021,Health Policy 11021,506,5000,Annual,2012-02-26,2017-02-24,2013-04-17,2013-03-18,400000,2393.31,SOUTH,1
22,PT004,Health,Health insurance policy,11022,Health Policy 11022,507,12500,Annual,2015-12-22,2020-12-20,2016-06-19,2016-05-20,800000,2753.42,EAST,1
23,PT005,Home,Home insurance policy,11023,Home Policy 11023,508,5000,Quarterly,2009-10-29,2011-10-29,2011-01-27,2010-12-28,600000,2131.17,NORTH,4
24,PT003,Term,Term life insurance policy,11024,Term Policy 11024,508,25000,Quarterly,2014-03-23,2016-03-22,2014-12-25,2014-11-25,500000,11976.89,NORTH,4
25,PT003,Term,Term life insurance policy,11025,Term Policy 11025,509,7500,Annual,2015-11-22,2020-11-20,2016-12-11,2016-11-11,400000,5797.25,EAST,1
26,PT004,Health,Health insurance policy,11026,Health Policy 11026,510,15000,Monthly,2014-03-12,2015-03-12,2015-02-09,2015-01-10,300000,5165.11,WEST,12
27,PT001,Auto,Auto insurance policy,11027,Auto Policy 11027,510,10000,Annual,2018-10-04,2023-10-03,2019-10-08,2019-09-08,300000,5778.37,WEST,1
28,PT001,Auto,Auto insurance policy,11028,Auto Policy 11028,511,25000,Monthly,2013-07-04,2014-07-04,2014-02-19,2014-01-20,800000,20964.0,EAST,12
29,PT005,Home,Home insurance policy,11029,Home Policy 11029,511,5000,Annual,2006-06-04,2011-06-03,2006-11-18,2006-10-19,600000,2267.34,EAST,1
30,PT002,WholeLife,Whole life insurance policy,11030,WholeLife Policy 11030,511,12500,Annual,2008-07-10,2013-07-09,2009-09-10,2009-08-11,1000000,4506.68,EAST,1
31,PT003,Term,Term life insurance policy,11031,Term Policy 11031,512,7500,Quarterly,2012-06-08,2014-06-08,2013-08-17,2013-07-18,600000,2805.69,NORTH,4
32,PT001,Auto,Auto insurance policy,11032,Auto Policy 11032,513,5000,Annual,2005-06-14,2010-06-13,2006-03-04,2006-02-02,600000,3769.7,WEST,1
33,PT002,WholeLife,Whole life insurance policy,11033,WholeLife Policy 11033,514,5000,Quarterly,2011-05-09,2013-05-08,2012-05-26,2012-04-26,300000,3703.44,NORTH,4
34,PT001,Auto,Auto insurance policy,11034,Auto Policy 11034,515,5000,Annual,2011-02-10,2016-02-09,2012-05-16,2012-04-16,1000000,2322.5,WEST,1
35,PT002,WholeLife,Whole life insurance policy,11035,WholeLife Policy 11035,516,5000,Monthly,2011-01-21,2012-01-21,2011-12-05,2011-11-05,200000,3527.4,SOUTH,12
36,PT004,Health,Health insurance policy,11036,Health Policy 11036,516,20000,Monthly,2005-06-15,2006-06-15,2006-05-18,2006-04-18,1000000,12468.21,SOUTH,12
37,PT001,Auto,Auto insurance policy,11037,Auto Policy 11037,517,7500,Quarterly,2018-03-12,2020-03-11,2019-03-17,2019-02-15,1000000,6011.34,NORTH,4
38,PT004,Health,Health insurance policy,11038,Health Policy 11038,518,5000,Annual,2016-06-29,2021-06-28,2017-01-15,2016-12-16,400000,2606.17,NORTH,1
39,PT001,Auto,Auto insurance policy,11039,Auto Policy 11039,518,15000,Annual,2010-12-05,2015-12-04,2011-08-14,2011-07-15,500000,6058.01,NORTH,1
40,PT002,WholeLife,Whole life insurance policy,11040,WholeLife Policy 11040,519,10000,Annual,2014-02-11,2019-02-10,2014-09-04,2014-08-05,500000,8353.66,NORTH,1
41,PT005,Home,Home insurance policy,11041,Home Policy 11041,520,5000,Quarterly,2010-06-27,2012-06-26,2011-09-02,2011-08-03,500000,2377.76,WEST,4
42,PT003,Term,Term life insurance policy,11042,Term Policy 11042,520,5000,Annual,2017-04-05,2022-04-04,2017-09-26,2017-08-27,500000,3022.58,WEST,1
43,PT001,Auto,Auto insurance policy,11043,Auto Policy 11043,520,12500,Monthly,2013-11-30,2014-11-30,2014-09-30,2014-08-31,400000,7427.59,WEST,12
44,PT003,Term,Term life insurance policy,11044,Term Policy 11044,521,25000,Monthly,2012-06-16,2013-06-16,2012-09-26,2012-08-27,800000,6669.31,WEST,12
45,PT002,WholeLife,Whole life insurance policy,11045,WholeLife Policy 11045,521,15000,Quarterly,2009-08-29,2011-08-29,2009-12-09,2009-11-09,300000,4483.97,WEST,4
46,PT005,Home,Home insurance policy,11046,Home Policy 11046,521,20000,Annual,2015-08-16,2020-08-14,2016-07-31,2016-07-01,1000000,14648.14,WEST,1
47,PT004,Health,Health insurance policy,11047,Health Policy 11047,522,10000,Quarterly,2010-08-27,2012-08-26,2011-04-16,2011-03-17,800000,7840.26,NORTH,4
48,PT003,Term,Term life insurance policy,11048,Term Policy 11048,523,15000,Annual,2020-06-15,2025-06-14,2021-11-03,2021-10-04,500000,3058.5,SOUTH,1
49,PT002,WholeLife,Whole life insurance policy,11049,WholeLife Policy 11049,524,15000,Quarterly,2017-08-13,2019-08-13,2018-03-21,2018-02-19,500000,13074.49,SOUTH,4
50,PT002,WholeLife,Whole life insurance policy,11050,WholeLife Policy 11050,524,20000,Quarterly,2012-03-21,2014-03-21,2013-02-07,2013-01-08,500000,11767.3,SOUTH,4
51,PT001,Auto,Auto insurance policy,11051,Auto Policy 11051,524,20000,Quarterly,2007-05-11,2009-05-10,2008-01-18,2007-12-19,200000,5781.95,SOUTH,4
52,PT002,WholeLife,Whole life insurance policy,11052,WholeLife Policy 11052,525,5000,Annual,2016-08-30,2021-08-29,2017-02-07,2017-01-08,300000,2531.6,NORTH,1
53,PT001,Auto,Auto insurance policy,11053,Auto Policy 11053,526,7500,Quarterly,2014-07-07,2016-07-06,2015-10-21,2015-09-21,800000,4254.09,EAST,4
54,PT005,Home,Home insurance policy,11054,Home Policy 11054,527,5000,Quarterly,2014-05-19,2016-05-18,2014-09-16,2014-08-17,400000,2524.18,EAST,4
55,PT003,Term,Term life insurance policy,11055,Term Policy 11055,528,15000,Quarterly,2016-09-20,2018-09-20,2017-09-03,2017-08-04,400000,9827.32,WEST,4
56,PT002,WholeLife,Whole life insurance policy,11056,WholeLife Policy 11056,528,20000,Annual,2011-07-06,2016-07-04,2012-10-19,2012-09-19,300000,12596.0,WEST,1
57,PT003,Term,Term life insurance policy,11057,Term Policy 11057,529,10000,Annual,2016-08-25,2021-08-24,2017-06-17,2017-05-18,500000,3474.32,SOUTH,1
58,PT003,Term,Term life insurance policy,11058,Term Policy 11058,529,15000,Monthly,2008-01-14,2009-01-13,2009-05-12,2009-04-12,800000,7975.64,SOUTH,12
59,PT003,Term,Term life insurance policy,11059,Term Policy 11059,529,7500,Monthly,2014-05-04,2015-05-04,2014-08-06,2014-07-07,500000,6714.88,SOUTH,12
60,PT003,Term,Term life insurance policy,11060,Term Policy 11060,530,7500,Monthly,2020-09-25,2021-09-25,2021-01-11,2020-12-12,800000,4323.09,WEST,12
61,PT001,Auto,Auto insurance policy,11061,Auto Policy 11061,531,12500,Annual,2006-05-16,2011-05-15,2006-10-03,2006-09-03,600000,3084.26,WEST,1
62,PT005,Home,Home insurance policy,11062,Home Policy 11062,531,20000,Quarterly,2010-01-26,2012-01-26,2010-07-03,2010-06-03,200000,7844.13,WEST,4
63,PT005,Home,Home insurance policy,11063,Home Policy 11063,532,15000,Quarterly,2011-11-10,2013-11-09,2012-08-02,2012-07-03,1000000,12810.23,EAST,4
64,PT005,Home,Home insurance policy,11064,Home Policy 11064,532,20000,Annual,2017-02-19,2022-02-18,2017-05-29,2017-04-29,300000,12296.95,EAST,1
65,PT002,WholeLife,Whole life insurance policy,11065,WholeLife Policy 11065,533,10000,Monthly,2011-04-13,2012-04-12,2011-08-03,2011-07-04,600000,2886.93,EAST,12
66,PT005,Home,Home insurance policy,11066,Home Policy 11066,534,10000,Quarterly,2019-06-19,2021-06-18,2020-09-16,2020-08-17,600000,7973.8,EAST,4
67,PT005,Home,Home insurance policy,11067,Home Policy 11067,534,25000,Annual,2011-03-22,2016-03-20,2012-04-27,2012-03-28,600000,20911.52,EAST,1
68,PT002,WholeLife,Whole life insurance policy,11068,WholeLife Policy 11068,534,25000,Monthly,2008-10-09,2009-10-09,2009-03-28,2009-02-26,300000,6598.42,EAST,12
69,PT002,WholeLife,Whole life insurance policy,11069,WholeLife Policy 11069,535,12500,Monthly,2008-03-20,2009-03-20,2008-05-19,2008-04-19,1000000,5329.21,EAST,12
70,PT001,Auto,Auto insurance policy,11070,Auto Policy 11070,535,25000,Annual,2008-01-28,2013-01-26,2008-10-31,2008-10-01,500000,16634.74,EAST,1
71,PT003,Term,Term life insurance policy,11071,Term Policy 11071,535,25000,Annual,2011-10-15,2016-10-13,2012-04-15,2012-03-16,200000,14802.54,EAST,1
72,PT004,Health,Health insurance policy,11072,Health Policy 11072,536,10000,Quarterly,2020-11-03,2022-11-03,2022-03-07,2022-02-05,400000,5653.9,WEST,4
73,PT005,Home,Home insurance policy,11073,Home Policy 11073,536,25000,Annual,2006-10-03,2011-10-02,2007-02-25,2007-01-26,300000,21546.07,WEST,1
74,PT002,WholeLife,Whole life insurance policy,11074,WholeLife Policy 11074,537,12500,Annual,2014-10-22,2019-10-21,2015-12-11,2015-11-11,500000,9403.44,SOUTH,1
75,PT001,Auto,Auto insurance policy,11075,Auto Policy 11075,537,20000,Quarterly,2017-07-07,2019-07-07,2017-12-05,2017-11-05,400000,4354.14,SOUTH,4
76,PT004,Health,Health insurance policy,11076,Health Policy 11076,538,20000,Quarterly,2020-01-11,2022-01-10,2020-06-28,2020-05-29,500000,12637.64,EAST,4
77,PT002,WholeLife,Whole life insurance policy,11077,WholeLife Policy 11077,538,7500,Quarterly,2013-07-31,2015-07-31,2013-10-04,2013-09-04,800000,2528.14,EAST,4
78,PT005,Home,Home insurance policy,11078,Home Policy 11078,539,15000,Monthly,2009-05-16,2010-05-16,2009-12-30,2009-11-30,400000,3988.14,EAST,12
79,PT003,Term,Term life insurance policy,11079,Term Policy 11079,539,5000,Annual,2010-09-10,2015-09-09,2011-03-28,2011-02-26,600000,1117.35,EAST,1
80,PT004,Health,Health insurance policy,11080,Health Policy 11080,540,20000,Monthly,2013-12-07,2014-12-07,2014-06-14,2014-05-15,800000,7838.43,EAST,12
81,PT001,Auto,Auto insurance policy,11081,Auto Policy 11081,540,25000,Monthly,2017-11-01,2018-11-01,2018-08-29,2018-07-30,800000,22451.55,EAST,12
82,PT004,Health,Health insurance policy,11082,Health Policy 11082,541,12500,Monthly,2015-12-31,2016-12-30,2017-05-21,2017-04-21,800000,8166.05,WEST,12
83,PT005,Home,Home insurance policy,11083,Home Policy 11083,541,10000,Monthly,2007-05-02,2008-05-01,2008-05-09,2008-04-09,200000,8259.86,WEST,12
84,PT002,WholeLife,Whole life insurance policy,11084,WholeLife Policy 11084,541,7500,Annual,2020-10-29,2025-10-28,2022-03-08,2022-02-06,1000000,2191.15,WEST,1
85,PT001,Auto,Auto insurance policy,11085,Auto Policy 11085,542,20000,Quarterly,2006-04-05,2008-04-04,2006-07-05,2006-06-05,800000,8399.31,NORTH,4
86,PT005,Home,Home insurance policy,11086,Home Policy 11086,542,20000,Monthly,2011-03-24,2012-03-23,2012-06-03,2012-05-04,600000,4233.44,NORTH,12
87,PT003,Term,Term life insurance policy,11087,Term Policy 11087,543,15000,Monthly,2020-11-28,2021-11-28,2021-08-02,2021-07-03,800000,8421.57,EAST,12
88,PT004,Health,Health insurance policy,11088,Health Policy 11088,543,20000,Annual,2014-05-04,2019-05-03,2014-08-05,2014-07-06,200000,6701.16,EAST,1
89,PT005,Home,Home insurance policy,11089,Home Policy 11089,543,10000,Annual,2008-04-23,2013-04-22,2008-09-18,2008-08-19,200000,5103.79,EAST,1
90,PT005,Home,Home insurance policy,11090,Home Policy 11090,544,15000,Annual,2009-06-16,2014-06-15,2009-11-11,2009-10-12,500000,9670.65,NORTH,1
91,PT001,Auto,Auto insurance policy,11091,Auto Policy 11091,544,15000,Quarterly,2011-12-25,2013-12-24,2012-04-23,2012-03-24,400000,6585.25,NORTH,4
92,PT001,Auto,Auto insurance policy,11092,Auto Policy 11092,545,5000,Quarterly,2017-09-13,2019-09-13,2019-02-25,2019-01-26,200000,1316.97,NORTH,4
93,PT001,Auto,Auto insurance policy,11093,Auto Policy 11093,545,15000,Quarterly,2009-03-01,2011-03-01,2009-05-10,2009-04-10,800000,11050.59,NORTH,4
94,PT001,Auto,Auto insurance policy,11094,Auto Policy 11094,545,10000,Annual,2009-11-17,2014-11-16,2010-02-26,2010-01-27,500000,8140.39,NORTH,1
